rf_model,xgb_model,lstm_model,travel_time
5.6510368416305905,6.039122,5.8843555,6.3
6.233966398243428,6.7426395,5.8843555,6.9
5.940351467920057,6.0377645,5.713437,5.4
6.56719675530384,7.0840287,5.33897,7.5
6.737214225589225,6.674458,5.909857,6.3
6.446923513131964,7.9971685,5.443834,8.4
6.154395182016094,6.235278,7.3890123,5.7
7.742845335356364,8.72236,6.333173,8.9
7.3810355029506125,8.072173,7.6408787,8.4
7.508859245000498,7.976693,7.495369,8.4
7.402718370340334,8.283271,7.553343,8.8
6.989737043158553,7.4409833,6.955715,8.0
6.78057797376915,7.792611,6.8387365,8.0
8.704554699929702,8.905603,7.6562357,9.0
5.639042763949013,6.2052474,6.445142,6.2
5.484319173881674,5.865873,6.1153708,6.0
6.349998143034793,7.037559,5.728159,7.4
6.561898423886615,6.8329544,5.661899,7.4
6.017114355954173,6.1285467,5.4525642,5.6
8.07673835101891,8.721081,5.874975,9.6
7.4197714124486405,7.941018,6.10355,8.5
7.194238909510968,7.4903154,8.2190275,7.4
7.048390151434696,7.7539935,7.287549,7.6
6.651640730021321,7.4572372,6.841772,7.6
7.2414612829523035,11.576324,6.6979694,13.0
6.460288612860396,6.8915544,6.778016,7.6
5.721957413570244,5.842948,6.994711,5.3
6.219092307020365,6.5180955,5.3930187,7.0
5.975024517915277,6.3037043,5.7053614,6.9
6.2292419996831825,6.051638,5.4649515,5.9
5.418578907129005,5.50325,5.3915553,5.2
5.7429716582281145,5.758401,5.5893526,5.6
5.69913322124998,5.7697434,5.4443064,5.7
6.0939749192538075,5.2303004,5.7520256,5.0
6.457841228873982,6.4087825,5.664235,6.6
5.769814998264541,5.5633698,5.5730133,5.5
6.934082105582474,7.008743,6.0081167,6.7
7.668389040969922,7.8685493,6.2294874,8.6
8.194524951899952,8.37871,6.5955524,9.0
6.825462894834085,6.703365,6.531172,7.0
8.213048856730357,7.0745125,6.435938,7.1
7.497070871623504,7.1763654,7.1344814,7.2
8.440051822342902,16.162956,6.157178,17.8
7.310988786676285,7.1519804,6.55309,7.1
7.465410522146934,7.763293,6.586399,7.9
5.516919501529092,5.459728,7.731148,5.2
5.69784437026828,5.626416,5.6420355,5.4
5.09546853956229,4.3018,5.8165073,4.0
6.367283716101354,6.475413,5.9174004,6.0
7.8559128812253824,7.9300857,5.676204,8.3
6.581399622368371,6.5127983,6.644944,6.3
7.784727513227513,7.5275893,6.262764,7.8
7.541107231888479,7.361035,7.533057,7.3
8.018627795815298,7.9532533,6.283517,8.2
4.80338671378937,4.7385917,7.7219477,4.6
5.36895361290487,5.220089,6.418846,5.1
5.89131342626635,5.806256,6.132227,6.4
4.6593000886048195,4.5055857,6.0786686,4.0
5.920860398388069,5.765963,5.0107613,5.6
4.930234809367169,4.866447,5.7917886,4.9
6.341896607157728,6.2705593,5.4427233,6.2
5.579762261874064,5.368137,5.6497116,5.0
5.4621180118228985,5.0277987,4.962345,4.9
4.794751503342242,4.6180754,5.273778,4.8
6.647986018471852,6.5740795,5.0177813,6.6
4.82933816369723,4.447522,6.069854,4.4
6.931986678966071,6.856633,5.4970584,7.2
5.943894890000002,5.739483,6.2355213,5.5
6.4630366441246965,6.345697,5.742572,6.0
9.322439319939319,9.271728,5.6339273,9.5
6.713681027139719,6.228322,5.7673388,6.0
6.173651047654746,6.114727,5.4956355,5.6
7.8776519660894655,8.136725,5.285384,8.4
6.285846403115197,6.025729,6.8532553,5.7
6.65286164362635,6.8646727,5.568898,7.1
5.638562108865084,5.537475,6.687009,5.0
6.13171640602302,5.8466725,6.10021,6.4
6.676158423888206,6.6264343,6.075453,6.4
5.92913761987559,5.658286,6.4162464,6.0
6.144898205960703,6.0400915,6.6616106,5.8
7.402793826543825,7.1543946,6.1096106,7.3
4.718810401844376,4.7035937,7.035654,4.6
6.93131291313405,6.3317304,6.4198093,6.6
4.988231682687705,4.8843184,6.107649,4.9
5.744975582571694,5.738233,5.2579775,6.2
5.523466913023574,5.5142717,5.947754,5.2
6.4855744935690405,6.4291534,5.6583705,6.5
6.0590198441072385,6.0308065,6.1142807,5.9
7.022241071851445,6.910294,5.4951534,7.1
5.534850751624945,5.580658,6.1165857,5.4
5.877360520553295,5.8441954,5.4964027,5.7
6.5633953464598696,6.4636064,5.1152267,6.8
5.644017541705324,5.5503325,5.6928883,5.5
5.689939073543277,5.7837405,5.266325,5.6
